order_id,customer_name,new_order_date,order_year,month_name,order_month,order_day,category,sub_category,net_sales,discount,profit,total_sales,profit_percentage,region,city
OD1,Harish,08-11-2017,2017,November,11,8,Oil & Masala,Masalas,852.72,0.12,401.28,1254,47.05882353,North,Vellore
OD2,Sudha,08-11-2017,2017,November,11,8,Beverages,Health Drinks,599.2,0.18,149.8,749,25,South,Krishnagiri
OD3,Hussain,12-06-2017,2017,June,6,12,Food Grains,Atta & Flour,2194.8,0.21,165.2,2360,7.52688172,West,Perambalur
OD4,Jackson,11-10-2016,2016,October,10,11,Fruits & Veggies,Fresh Vegetables,806.4,0.25,89.6,896,11.11111111,South,Dharmapuri
OD5,Ridhesh,11-10-2016,2016,October,10,11,Food Grains,Organic Staples,1436.55,0.26,918.45,2355,63.93442623,South,Ooty
OD6,Adavan,09-06-2015,2015,June,6,9,Food Grains,Organic Staples,1982.3,0.26,322.7,2305,16.27906977,West,Dharmapuri
OD7,Jonas,09-06-2015,2015,June,6,9,Fruits & Veggies,Fresh Vegetables,479.08,0.33,346.92,826,72.4137931,West,Trichy
OD8,Hafiz,09-06-2015,2015,June,6,9,Fruits & Veggies,Fresh Fruits,1699.24,0.32,147.76,1847,8.695652174,West,Ramanadhapuram
OD9,Hafiz,09-06-2015,2015,June,6,9,Bakery,Biscuits,609.07,0.23,181.93,791,29.87012987,West,Tirunelveli
OD10,Krithika,09-06-2015,2015,June,6,9,Bakery,Cakes,1310.35,0.27,484.65,1795,36.98630137,West,Chennai
OD11,Ganesh,09-06-2015,2015,June,6,9,Snacks,Chocolates,1465.31,0.13,437.69,1903,29.87012987,West,Karur
OD12,Yadav,09-06-2015,2015,June,6,9,"Eggs, Meat & Fish",Eggs,392.56,0.1,308.44,701,78.57142857,West,Namakkal
OD13,Sharon,15-04-2018,2018,April,4,15,Snacks,Cookies,1343.79,0.19,315.21,1659,23.45679012,South,Dindigul
OD14,Peer,05-12-2017,2017,December,12,5,Fruits & Veggies,Fresh Vegetables,1213.15,0.25,63.85,1277,5.263157895,West,Kanyakumari
OD15,Sundar,22-11-2016,2016,November,11,22,"Eggs, Meat & Fish",Chicken,623.25,0.22,207.75,831,33.33333333,Central,Kanyakumari
OD16,Ramesh,22-11-2016,2016,November,11,22,Oil & Masala,Edible Oil & Ghee,1339.2,0.11,100.8,1440,7.52688172,Central,Krishnagiri
OD17,Alan,11-11-2015,2015,November,11,11,Bakery,Cakes,1359.18,0.28,318.82,1678,23.45679012,Central,Dharmapuri
OD18,Arutra,13-05-2015,2015,May,5,13,Beverages,Health Drinks,1503.81,0.19,113.19,1617,7.52688172,West,Bodi
OD19,Haseena,27-08-2015,2015,August,8,27,"Eggs, Meat & Fish",Mutton,1370.46,0.35,386.54,1757,28.20512821,West,Tenkasi
OD20,Verma,27-08-2015,2015,August,8,27,Beverages,Soft Drinks,532.84,0.29,159.16,692,29.87012987,West,Kanyakumari
OD21,Hafiz,27-08-2015,2015,August,8,27,Beverages,Health Drinks,313.2,0.19,208.8,522,66.66666667,West,Vellore
OD22,Alan,09-12-2017,2017,December,12,9,Food Grains,Dals & Pulses,900.6,0.13,47.4,948,5.263157895,Central,Karur
OD23,Haseena,09-12-2017,2017,December,12,9,Beverages,Soft Drinks,558.53,0.34,148.47,707,26.58227848,Central,Krishnagiri
OD24,Alan,16-07-2018,2018,July,7,16,Fruits & Veggies,Organic Vegetables,891.48,0.29,77.52,969,8.695652174,East,Tenkasi
OD25,Sharon,25-09-2016,2016,September,9,25,"Eggs, Meat & Fish",Eggs,605,0.11,495,1100,81.81818182,West,Ooty
OD26,Krithika,16-01-2017,2017,January,1,16,Snacks,Chocolates,1819.8,0.11,202.2,2022,11.11111111,West,Tirunelveli
OD27,Muneer,16-01-2017,2017,January,1,16,Snacks,Cookies,497.72,0.12,43.28,541,8.695652174,West,Trichy
OD28,Jackson,17-09-2016,2016,September,9,17,Bakery,Biscuits,577.61,0.22,401.39,979,69.49152542,East,Viluppuram
OD29,Veronica,17-09-2016,2016,September,9,17,Beverages,Soft Drinks,1113.28,0.22,874.72,1988,78.57142857,East,Krishnagiri
OD30,Shah,17-09-2016,2016,September,9,17,Oil & Masala,Masalas,919.77,0.17,69.23,989,7.52688172,East,Kanyakumari
OD31,Ramesh,17-09-2016,2016,September,9,17,Beverages,Soft Drinks,1678.95,0.24,166.05,1845,9.89010989,East,Dharmapuri
OD32,Mathew,17-09-2016,2016,September,9,17,Snacks,Noodles,980,0.11,420,1400,42.85714286,East,Vellore
OD33,Akash,17-09-2016,2016,September,9,17,Oil & Masala,Edible Oil & Ghee,1492.47,0.26,670.53,2163,44.92753623,East,Trichy
OD34,Anu,17-09-2016,2016,September,9,17,Oil & Masala,Masalas,1351.2,0.34,337.8,1689,25,East,Madurai
OD35,Anu,19-10-2018,2018,October,10,19,Beverages,Health Drinks,728.1,0.32,80.9,809,11.11111111,Central,Vellore
OD36,Sabeela,08-12-2017,2017,December,12,8,"Eggs, Meat & Fish",Eggs,695.75,0.22,569.25,1265,81.81818182,Central,Tirunelveli
OD37,James,08-12-2017,2017,December,12,8,Beverages,Soft Drinks,877.96,0.35,56.04,934,6.382978723,Central,Salem
OD38,Willams,27-12-2016,2016,December,12,27,Fruits & Veggies,Organic Vegetables,907.18,0.16,446.82,1354,49.25373134,Central,Ramanadhapuram
OD39,Jonas,27-12-2016,2016,December,12,27,Fruits & Veggies,Fresh Fruits,1470.84,0.19,280.16,1751,19.04761905,Central,Chennai
OD40,Sabeela,27-12-2016,2016,December,12,27,"Eggs, Meat & Fish",Chicken,1165.65,0.23,879.35,2045,75.43859649,Central,Cumbum
OD41,Malik,27-12-2016,2016,December,12,27,Beverages,Health Drinks,567.6,0.19,92.4,660,16.27906977,Central,Namakkal
OD42,Arutra,10-09-2018,2018,September,9,10,Beverages,Soft Drinks,1251.56,0.18,616.44,1868,49.25373134,Central,Salem
OD43,Sharon,17-07-2017,2017,July,7,17,Snacks,Cookies,671.22,0.25,345.78,1017,51.51515152,West,Bodi
OD44,Mathew,19-09-2018,2018,September,9,19,Snacks,Cookies,1271.05,0.2,1039.95,2311,81.81818182,South,Dharmapuri
OD45,Amrish,11-03-2017,2017,March,3,11,Bakery,Biscuits,931.28,0.17,731.72,1663,78.57142857,Central,Krishnagiri
OD46,Vince,11-03-2017,2017,March,3,11,"Eggs, Meat & Fish",Eggs,1065,0.19,355,1420,33.33333333,Central,Madurai
OD47,Suresh,20-10-2015,2015,October,10,20,Fruits & Veggies,Organic Vegetables,905.6,0.31,509.4,1415,56.25,Central,Nagercoil
OD48,Mathew,20-06-2017,2017,June,6,20,Snacks,Noodles,877.92,0.3,610.08,1488,69.49152542,East,Chennai
OD49,Ridhesh,20-06-2017,2017,June,6,20,Snacks,Noodles,682.44,0.18,43.56,726,6.382978723,East,Pudukottai
OD50,Amrish,18-04-2016,2016,April,4,18,Bakery,Cakes,843.53,0.15,415.47,1259,49.25373134,Central,Ooty
OD51,Esther,18-04-2016,2016,April,4,18,Beverages,Soft Drinks,748.66,0.29,153.34,902,20.48192771,Central,Salem
OD52,Shah,18-04-2016,2016,April,4,18,Beverages,Soft Drinks,1752.56,0.3,553.44,2306,31.57894737,Central,Salem
OD53,Sudha,18-04-2016,2016,April,4,18,Bakery,Cakes,1317.81,0.19,99.19,1417,7.52688172,Central,Theni
OD54,Yusuf,11-12-2017,2017,December,12,11,Fruits & Veggies,Fresh Vegetables,445.17,0.33,181.83,627,40.84507042,East,Madurai
OD55,Esther,11-12-2017,2017,December,12,11,Fruits & Veggies,Organic Fruits,699.2,0.28,60.8,760,8.695652174,East,Nagercoil
OD56,Muneer,17-06-2017,2017,June,6,17,Food Grains,Atta & Flour,1739,0.15,611,2350,35.13513514,East,Salem
OD57,Komal,17-06-2017,2017,June,6,17,"Eggs, Meat & Fish",Fish,907.83,0.34,271.17,1179,29.87012987,East,Krishnagiri
OD58,Veena,17-06-2017,2017,June,6,17,Food Grains,Dals & Pulses,1429.12,0.35,194.88,1624,13.63636364,East,Trichy
OD59,Sharon,17-06-2017,2017,June,6,17,"Eggs, Meat & Fish",Mutton,894.88,0.35,421.12,1316,47.05882353,East,Trichy
OD60,Shree,17-06-2017,2017,June,6,17,Beverages,Health Drinks,1442.28,0.12,678.72,2121,47.05882353,East,Coimbatore
OD61,Roshan,17-06-2017,2017,June,6,17,Oil & Masala,Masalas,1156.68,0.28,271.32,1428,23.45679012,East,Virudhunagar
OD62,Willams,17-06-2017,2017,June,6,17,Snacks,Noodles,416.54,0.33,289.46,706,69.49152542,East,Perambalur
OD63,Sudeep,24-11-2016,2016,November,11,24,"Eggs, Meat & Fish",Fish,736.8,0.25,184.2,921,25,West,Dharmapuri
OD64,Yusuf,24-11-2016,2016,November,11,24,Fruits & Veggies,Fresh Fruits,1079.42,0.31,661.58,1741,61.29032258,West,Trichy
OD65,Willams,24-11-2016,2016,November,11,24,"Eggs, Meat & Fish",Eggs,406.69,0.22,200.31,607,49.25373134,West,Madurai
OD66,Muneer,24-11-2016,2016,November,11,24,"Eggs, Meat & Fish",Mutton,1057.92,0.25,766.08,1824,72.4137931,West,Tirunelveli
OD67,Vinne,30-04-2016,2016,April,4,30,Food Grains,Atta & Flour,984.96,0.11,383.04,1368,38.88888889,Central,Madurai
OD68,Roshan,05-12-2015,2015,December,12,5,Fruits & Veggies,Fresh Vegetables,649.6,0.16,510.4,1160,78.57142857,West,Pudukottai
OD69,Ramesh,05-12-2015,2015,December,12,5,Food Grains,Atta & Flour,1216.36,0.23,77.64,1294,6.382978723,West,Viluppuram
OD70,Peer,04-06-2017,2017,June,6,4,Oil & Masala,Masalas,677.6,0.14,554.4,1232,81.81818182,South,Ooty
OD71,Verma,18-09-2017,2017,September,9,18,"Eggs, Meat & Fish",Mutton,636.16,0.31,357.84,994,56.25,East,Kanyakumari
OD72,Yusuf,14-09-2018,2018,September,9,14,Snacks,Noodles,1456.12,0.18,1011.88,2468,69.49152542,Central,Kanyakumari
OD73,Alan,26-04-2016,2016,April,4,26,Snacks,Cookies,620.06,0.27,100.94,721,16.27906977,South,Theni
OD74,Vidya,26-04-2016,2016,April,4,26,Fruits & Veggies,Organic Vegetables,1900,0.21,475,2375,25,South,Vellore
OD75,Arvind,26-04-2016,2016,April,4,26,Beverages,Soft Drinks,1847.1,0.13,117.9,1965,6.382978723,South,Vellore
OD76,Veronica,09-12-2018,2018,December,12,9,Beverages,Soft Drinks,1295.43,0.12,193.57,1489,14.94252874,Central,Bodi
OD77,Arvind,09-12-2018,2018,December,12,9,Fruits & Veggies,Organic Fruits,1175,0.27,75,1250,6.382978723,Central,Ooty
OD78,Anu,09-12-2018,2018,December,12,9,Snacks,Noodles,869.12,0.31,488.88,1358,56.25,Central,Coimbatore
OD79,Haseena,26-11-2015,2015,November,11,26,Snacks,Cookies,654.29,0.2,64.71,719,9.89010989,Central,Vellore
OD80,Veena,12-06-2017,2017,June,6,12,Fruits & Veggies,Organic Fruits,1681.19,0.26,621.81,2303,36.98630137,South,Chennai
OD81,Kumar,12-06-2017,2017,June,6,12,Beverages,Health Drinks,1114.85,0.34,912.15,2027,81.81818182,South,Kanyakumari
OD82,Amy,12-10-2015,2015,October,10,12,Food Grains,Atta & Flour,973.84,0.29,765.16,1739,78.57142857,West,Bodi
OD83,Komal,12-10-2015,2015,October,10,12,Oil & Masala,Spices,762.3,0.26,227.7,990,29.87012987,West,Cumbum
OD84,Ravi,03-09-2016,2016,September,9,3,Beverages,Soft Drinks,1671.34,0.11,682.66,2354,40.84507042,South,Dharmapuri
OD85,Amy,13-11-2018,2018,November,11,13,Fruits & Veggies,Organic Fruits,699.48,0.1,344.52,1044,49.25373134,Central,Bodi
